surface,screen_or_route,source,design_status,verification
Public web,/about,apps/web/app/about/page.tsx,pending,
Player portal,/app/booking-invite/[inviteToken],apps/web/app/app/booking-invite/[inviteToken]/page.tsx,pending,
Player portal,/app/checkout/[slug],apps/web/app/app/checkout/[slug]/page.tsx,pending,
Player portal,/app/discover/map,apps/web/app/app/discover/map/page.tsx,pending,
Player portal,/app/discover,apps/web/app/app/discover/page.tsx,local-review,Warm presentation reviewed with local fixtures; connected acceptance pending
Player portal,/app/discover/results,apps/web/app/app/discover/results/page.tsx,pending,
Player portal,/app/health,apps/web/app/app/health/page.tsx,pending,
Player portal,/app/matches/[id],apps/web/app/app/matches/[id]/page.tsx,pending,
Player portal,/app/matches,apps/web/app/app/matches/page.tsx,local-review,Warm presentation reviewed with local fixtures; connected acceptance pending
Player portal,/app/messages,apps/web/app/app/messages/page.tsx,pending,
Player portal,/app/onboarding,apps/web/app/app/onboarding/page.tsx,pending,
Player portal,/app,apps/web/app/app/page.tsx,first-review,
Player portal,/app/pickup/[slug]/edit,apps/web/app/app/pickup/[slug]/edit/page.tsx,pending,
Player portal,/app/pickup/new,apps/web/app/app/pickup/new/page.tsx,pending,
Player portal,/app/play,apps/web/app/app/play/page.tsx,local-review,Day and week with fixtures; connected data pending
Player portal,/app/profile,apps/web/app/app/profile/page.tsx,pending,
Player portal,/app/score,apps/web/app/app/score/page.tsx,pending,
Player portal,/app/settings,apps/web/app/app/settings/page.tsx,pending,
Player portal,/app/team/claim/[token],apps/web/app/app/team/claim/[token]/page.tsx,pending,
Player portal,/app/venues/[venueId],apps/web/app/app/venues/[venueId]/page.tsx,pending,
Player portal,/app/video/[videoId],apps/web/app/app/video/[videoId]/page.tsx,pending,
Player portal,/app/video,apps/web/app/app/video/page.tsx,pending,Local route requires database; connected route review remains open
Player portal,/app/wallet,apps/web/app/app/wallet/page.tsx,pending,
Player portal,/app/wallet/predictions,apps/web/app/app/wallet/predictions/page.tsx,pending,
Player portal,/apps/apple-watch,apps/web/app/apps/apple-watch/page.tsx,pending,
Public web,/avp,apps/web/app/avp/page.tsx,pending,
Public web,/checkout/[slug],apps/web/app/checkout/[slug]/page.tsx,pending,
Public web,/clubs/[slug],apps/web/app/clubs/[slug]/page.tsx,pending,
Public web,/clubs/[slug]/products/[productSlug],apps/web/app/clubs/[slug]/products/[productSlug]/page.tsx,pending,
Public web,/coaches/[handle],apps/web/app/coaches/[handle]/page.tsx,pending,
Public web,/create,apps/web/app/create/page.tsx,pending,
Public web,/discover/map,apps/web/app/discover/map/page.tsx,pending,
Public web,/discover,apps/web/app/discover/page.tsx,pending,
Public web,/discover/results,apps/web/app/discover/results/page.tsx,pending,
Public web,/events/[slug]/match/[matchSlug]/[matchId],apps/web/app/events/[slug]/match/[matchSlug]/[matchId]/page.tsx,pending,
Public web,/events/[slug],apps/web/app/events/[slug]/page.tsx,pending,
Public web,/join/guardian/[token],apps/web/app/join/guardian/[token]/page.tsx,pending,
Public web,/join/match/[inviteToken],apps/web/app/join/match/[inviteToken]/page.tsx,pending,
Public web,/join/organization/[inviteToken],apps/web/app/join/organization/[inviteToken]/page.tsx,pending,
Public web,/join/team/[inviteToken],apps/web/app/join/team/[inviteToken]/page.tsx,pending,
Public web,/legal/[document],apps/web/app/legal/[document]/page.tsx,pending,
Public web,/legal,apps/web/app/legal/page.tsx,pending,
Public web,/live/[matchId],apps/web/app/live/[matchId]/page.tsx,pending,
Public web,/matches/[matchId],apps/web/app/matches/[matchId]/page.tsx,pending,
Public web,/methodology,apps/web/app/methodology/page.tsx,pending,
Public web,/,apps/web/app/page.tsx,pending,
Public web,/players/[handle],apps/web/app/players/[handle]/page.tsx,pending,
Public web,/pro/onboarding-complete,apps/web/app/pro/onboarding-complete/page.tsx,pending,
Public web,/pro,apps/web/app/pro/page.tsx,pending,
Public web,/pro/teams/[teamNo],apps/web/app/pro/teams/[teamNo]/page.tsx,pending,
Public web,/rankings,apps/web/app/rankings/page.tsx,pending,
Public web,/run-your-club/features/[...slug],apps/web/app/run-your-club/features/[...slug]/page.tsx,pending,
Public web,/run-your-club/features,apps/web/app/run-your-club/features/page.tsx,pending,
Public web,/run-your-club,apps/web/app/run-your-club/page.tsx,pending,
Public web,/run-your-club/training,apps/web/app/run-your-club/training/page.tsx,pending,
Public web,/run-your-club/training-os,apps/web/app/run-your-club/training-os/page.tsx,pending,
Public web,/safety,apps/web/app/safety/page.tsx,pending,
Public web,/sign-in,apps/web/app/sign-in/page.tsx,pending,
